country,continent,year,lifeExp,wavg.lifeExp
Afghanistan,Asia,1952,28.801,28.801
Afghanistan,Asia,1957,30.332,29.601840944722504
Afghanistan,Asia,1962,31.997,30.482197107471894
Afghanistan,Asia,1967,34.02,31.516341737681103
Afghanistan,Asia,1972,36.088,32.65419023254766
Afghanistan,Asia,1977,38.438,33.9305327459055
Afghanistan,Asia,1982,39.854,34.880628613980676
Afghanistan,Asia,1987,40.822,35.75548396714023
Afghanistan,Asia,1992,41.674,36.6295010637306
Afghanistan,Asia,1997,41.763,37.48919841252662
Afghanistan,Asia,2002,42.129,38.23125123980455
Afghanistan,Asia,2007,43.828,39.17119002953294
Albania,Europe,1952,55.23,55.230000000000004
Albania,Europe,1957,59.28,57.397237212063494
Albania,Europe,1962,64.82,60.25584696186315
Albania,Europe,1967,66.22,62.0843909099099
Albania,Europe,1972,67.69,63.53701451055318
Albania,Europe,1977,68.93,64.7404348461015
Albania,Europe,1982,70.42,65.86633556682219
Albania,Europe,1987,72,66.96947170485734
Albania,Europe,1992,71.581,67.72049011204736
Albania,Europe,1997,72.95,68.47201993665202
Albania,Europe,2002,75.651,69.39253407377339
Albania,Europe,2007,76.423,70.21006992118654
Algeria,Africa,1952,43.077,43.077
Algeria,Africa,1957,45.685,44.447121249708644
Algeria,Africa,1962,48.303,45.83554928261877
Algeria,Africa,1967,51.407,47.47700600681181
Algeria,Africa,1972,54.518,49.2666724890553
Algeria,Africa,1977,58.014,51.261226940377696
Algeria,Africa,1982,61.368,53.38676079556937
Algeria,Africa,1987,65.799,55.822302291183384
Algeria,Africa,1992,67.744,57.98731740365427
Algeria,Africa,1997,69.152,59.85395755872823
Algeria,Africa,2002,70.994,61.55273064046692
Algeria,Africa,2007,72.301,63.05489861791252
Angola,Africa,1952,30.015,30.015
Angola,Africa,1957,31.999,31.044144880465655
Angola,Africa,1962,34,32.09154247356597
Angola,Africa,1967,35.985,33.174431255359906
Angola,Africa,1972,37.928,34.30607818757749
Angola,Africa,1977,39.483,35.33774287044439
Angola,Africa,1982,39.942,36.18920587392109
Angola,Africa,1987,39.906,36.82801055001816
Angola,Africa,1992,40.647,37.439596041361234
Angola,Africa,1997,40.963,37.97965199994493
Angola,Africa,2002,41.003,38.41597897221897
Angola,Africa,2007,42.731,39.027003678156866
Argentina,Americas,1952,62.485,62.48500000000001
Argentina,Americas,1957,64.399,63.48625577164481
Argentina,Americas,1962,65.142,64.085876924335
Argentina,Americas,1967,65.634,64.5204254195513
Argentina,Americas,1972,67.065,65.11256392178485
Argentina,Americas,1977,68.481,65.79357008736454
Argentina,Americas,1982,69.942,66.54119159418725
Argentina,Americas,1987,70.774,67.22958489410516
Argentina,Americas,1992,71.868,67.91926237098141
Argentina,Americas,1997,73.275,68.65206951299632
Argentina,Americas,2002,74.34,69.3718014145695
Argentina,Americas,2007,75.32,70.07024282414083
Australia,Oceania,1952,69.12,69.12
Australia,Oceania,1957,70.33,69.75857576277397
Australia,Oceania,1962,70.93,70.19165894573086
Australia,Oceania,1967,71.1,70.45423013671468
Australia,Oceania,1972,71.93,70.81269892502792
Australia,Oceania,1977,73.49,71.36421294303355
Australia,Oceania,1982,74.74,71.97804229304197
Australia,Oceania,1987,76.32,72.68559809973505
Australia,Oceania,1992,77.56,73.41239915874326
Australia,Oceania,1997,78.83,74.1529815676932
Australia,Oceania,2002,80.37,74.93519490321084
Australia,Oceania,2007,81.235,75.6674893716002
Austria,Europe,1952,66.8,66.8
Austria,Europe,1957,67.48,67.14093207593234
Austria,Europe,1962,69.54,67.9545469012385
Austria,Europe,1967,70.14,68.52221601074967
